文物采样点,文物编号,类型,组别,Y,观测SiO2,预测风化前SiO2,反推分母,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
26严重风化点,26,铅钡,严重风化,1.0,3.72,53.94379722552933,-0.01991088000593648,53.94379722552933,,0.15162098847904162,0.8127001316564972,,2.5084866613867307,,1.9312891287104872,-0.47443046175634507,25.858536678186965,-0.845988391201522,0.5478403084378616,,7.26620765674074
34,34,铅钡,一般风化,0.75,35.78,73.447847919147,-0.01991088000593648,73.447847919147,,0.06371574135928118,-0.8679749012576268,,2.616364996040048,1.2246331995614907,0.2584668465328652,23.754177153682736,2.8064025086402227,-4.824491293401142,0.1658802313283962,,
36,36,铅钡,一般风化,0.75,39.57,77.237847919147,-0.01991088000593648,77.237847919147,4.5444116573982765,-0.046284258640718806,-1.2779749012576267,,2.596364996040048,1.0746331995614908,-0.5715331534671347,18.81417715368274,3.6364025086402227,-5.094491293401141,0.1658802313283962,,
38,38,铅钡,一般风化,0.75,32.93,70.597847919147,-0.01991088000593648,70.597847919147,3.7044116573982766,,-0.9679749012576268,,3.566364996040048,1.0446331995614908,-0.5215331534671348,26.51417715368274,2.596402508640222,-4.684491293401141,0.3558802313283962,,
39,39,铅钡,一般风化,0.75,26.25,63.917847919147,-0.01991088000593648,63.917847919147,,,-0.5379749012576267,,1.496364996040048,,-0.3715331534671348,38.23417715368274,0.026402508640222422,-4.004491293401141,0.5558802313283961,,
40,40,铅钡,一般风化,0.75,16.71,54.377847919147,-0.01991088000593648,54.377847919147,,,0.2220250987423733,,1.446364996040048,0.9446331995614909,,47.41417715368273,-0.5035974913597769,-3.3944912934011415,0.6258802313283962,,
41,41,铅钡,一般风化,0.75,18.46,56.127847919147,-0.01991088000593648,56.127847919147,,0.2537157413592812,3.312025098742373,2.454765840972196,4.326364996040048,2.544633199561491,-1.0615331534671348,21.324177153682736,2.5664025086402225,2.2955087065988584,0.41588023132839613,,
43部位2,43,铅钡,一般风化,0.75,21.7,59.367847919146996,-0.01991088000593648,59.367847919146996,,,4.752025098742374,0.6747658409721962,4.406364996040048,2.1446331995614907,0.2584668465328652,21.95417715368274,-3.9335974913597775,7.6655087065988585,0.41588023132839613,,
48,48,铅钡,一般风化,0.75,53.33,90.997847919147,-0.01991088000593648,90.997847919147,3.1244116573982765,0.1337157413592812,1.172025098742373,1.2647658409721962,14.646364996040049,1.7846331995614908,,-7.08582284631726,0.11640250864022228,-4.064491293401142,0.1958802313283962,0.6175424209038952,
49,49,铅钡,一般风化,0.75,28.79,66.457847919147,-0.01991088000593648,66.457847919147,,,2.9320250987423733,1.1947658409721962,6.3763649960400475,3.494633199561491,-0.5515331534671348,11.384177153682739,-1.0935974913597777,5.935508706598858,0.40588023132839623,,
50,50,铅钡,一般风化,0.75,17.98,55.647847919147,-0.01991088000593648,55.647847919147,,,1.5420250987423731,0.19476584097219612,2.866364996040048,1.0846331995614908,-0.12153315346713489,21.20417715368274,7.006402508640222,1.1755087065988583,0.6058802313283962,,
51部位1,51,铅钡,一般风化,0.75,24.61,62.277847919147,-0.01991088000593648,62.277847919147,,,1.9320250987423733,0.9147658409721962,6.246364996040048,1.944633199561491,0.11846684653286532,17.44417715368274,1.7464025086402222,2.935508706598858,0.3358802313283962,-0.22245757909610486,
51部位2,51,铅钡,一般风化,0.75,21.35,59.017847919147,-0.01991088000593648,59.017847919147,,,3.482025098742373,1.1747658409721962,3.506364996040048,1.174633199561491,-0.5015331534671348,28.544177153682742,,3.5855087065988585,,,
52,52,铅钡,一般风化,0.75,25.74,63.407847919147,-0.01991088000593648,63.407847919147,3.5444116573982765,,0.6220250987423732,0.2747658409721962,2.1563649960400477,0.9846331995614909,-0.5515331534671348,24.62417715368274,1.4464025086402232,0.5455087065988584,0.3858802313283962,,
54,54,铅钡,一般风化,0.75,22.28,59.947847919147,-0.01991088000593648,59.947847919147,,0.1337157413592812,1.5420250987423731,1.0047658409721962,5.146364996040048,,-0.4215331534671348,32.66417715368274,-0.1535974913597773,-0.9244912934011413,0.8258802313283962,,
56,56,铅钡,一般风化,0.75,29.15,66.817847919147,-0.01991088000593648,66.817847919147,,,-0.43797490125762684,,2.846364996040048,,-0.46153315346713475,18.45417715368274,8.256402508640221,-2.6244912934011415,,,
58,58,铅钡,一般风化,0.75,30.39,68.05784791914701,-0.01991088000593648,68.05784791914701,,0.1537157413592812,1.8420250987423734,0.5147658409721962,4.516364996040048,1.6146331995614909,1.878466846532865,16.55417715368274,0.4664025086402228,3.8255087065988587,0.18588023132839618,,
