文物编号,类型,表面风化,风化程度,成分数据来源,成分累加和,是否有效,填0_SiO2,填0_Na2O,填0_K2O,填0_CaO,填0_MgO,填0_Al2O3,填0_Fe2O3,填0_CuO,填0_PbO,填0_BaO,填0_P2O5,填0_SrO,填0_SnO2,填0_SO2,ALR_Na2O,ALR_K2O,ALR_CaO,ALR_MgO,ALR_Al2O3,ALR_Fe2O3,ALR_CuO,ALR_PbO,ALR_BaO,ALR_P2O5,ALR_SrO,ALR_SnO2,ALR_SO2
11,铅钡,风化,1,主采样点均值,95.39,True,33.59,0.0,0.21,3.51,0.71,2.69,0.0,4.93,25.39,14.61,9.38,0.37,0.0,0.0,-4.430519135498357,-5.07487615188887,-2.2586123661464272,-3.8567187125709776,-2.5246872100104536,-5.979332426116022,-1.9188894155696028,-0.27987300790761444,-0.8325221778615933,-1.275648640606068,-4.508480676968069,-5.677051554243088,-5.229026831716128
12,高钾,风化,1,主采样点均值,99.57000000000002,True,94.29,0.0,1.01,0.72,0.0,1.46,0.29,1.65,0.0,0.0,0.15,0.0,0.0,0.0,-5.462665871351741,-4.536424808624418,-4.874879206449622,-5.994544904315564,-4.167938703757341,-5.784249495479203,-4.045599851565097,-7.446797233227252,-5.078254172441409,-6.4434951243634675,-8.458398144905733,-6.709198290096473,-6.261173567569513
13,高钾,无风化,0,主采样点均值,98.13999999999999,True,59.01,2.86,12.53,8.7,0.0,6.16,2.88,4.73,0.0,0.0,1.27,0.0,0.0,0.0,-3.026885296237316,-1.5495811521611005,-1.9143838954085395,-5.525876685907056,-2.259630143523649,-3.0199166269212228,-2.523781718565236,-6.978129014818744,-4.609585954032901,-3.8386900205985772,-7.9897299264972235,-6.240530071687965,-5.792505349161004
14,高钾,无风化,0,主采样点均值,98.99999999999999,True,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,0.0,0.16,0.0,0.0,0.0,-2.916810732010551,-1.6267145187864822,-2.0269004268165003,-4.550201885467144,-1.9122273929907179,-4.827833622065424,-4.889709025783511,-3.652260292261186,-4.6665654744693015,-5.967267905253789,-8.046709446933624,-6.297509592124365,-5.849484869597405
16,高钾,无风化,0,主采样点均值,98.41,True,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0.0,0.0,0.04,0.0,0.0,-3.435215328680038,-1.5016256640127656,-2.064518164373816,-4.83107914081608,-2.3558344019398163,-5.044653241114139,-4.109494024935601,-6.384427586599136,-4.7090317063732385,-7.529559890902139,-7.396028498277617,-6.339975824028302,-5.891951101501342
18,高钾,无风化,0,主采样点均值,97.24999999999999,True,79.46,0.0,9.42,0.0,1.53,3.05,0.0,0.0,0.0,0.0,1.36,0.07,2.36,0.0,-5.2915444822606075,-2.132418661798181,-6.629048679211066,-3.949986014982109,-3.2601121597671328,-6.840357772878273,-7.275675844136119,-7.275675844136119,-4.907132783350276,-4.067769050638492,-7.034513787319231,-3.516592131348934,-6.09005217847838
19,铅钡,风化,1,主采样点均值,98.75999999999999,True,29.64,0.0,0.0,2.93,0.59,3.57,1.33,3.51,42.82,5.35,8.83,0.19,0.0,0.0,-4.3054155323020415,-6.289546894177552,-2.31412237739891,-3.916757542510258,-2.1165592046363386,-3.1039458581942236,-2.133508762950112,0.36788048273365065,-1.712028239519971,-1.2109697858120174,-5.049856007249537,-5.551947951046773,-5.103923228519813
20,铅钡,无风化,0,主采样点均值,88.41,True,37.36,0.0,0.71,0.0,0.0,5.45,1.51,4.78,9.3,23.55,5.75,0.0,0.0,0.0,-4.536891345234797,-3.9630909223074178,-5.874395542185256,-5.06877037819862,-1.924985004685489,-3.208490962533809,-2.0561600668572773,-1.3905862132014315,-0.461474792898215,-1.8714007585513828,-7.532623618788788,-5.7834237639795285,-5.335399041452568
21,高钾,无风化,0,主采样点均值,98.52,True,76.68,0.0,0.0,4.71,1.22,6.19,2.37,3.28,1.0,1.97,1.1,0.0,0.0,0.0,-5.255931650051599,-7.24006301192711,-2.7899530101491177,-4.140790059432279,-2.516705831480939,-3.476750963030404,-3.1517974957813917,-4.339640918177444,-3.661607375427547,-4.244330738373119,-8.251663923605589,-6.502464068796331,-6.054439346269371
22,高钾,风化,1,主采样点均值,100.0,True,92.35,0.0,0.74,1.66,0.64,3.5,0.35,0.55,0.0,0.0,0.21,0.0,0.0,0.0,-5.441876438519404,-4.82669079942917,-4.018768104276797,-4.971872809273668,-3.272822738149881,-5.575407831143926,-5.123422707400869,-7.426007800394915,-5.057464739609072,-6.086233454909918,-8.437608712073395,-6.688408857264136,-6.240384134737176
23,铅钡,风化,1,未风化点,96.5,True,53.79,7.92,0.0,0.5,0.71,1.42,0.0,2.99,16.98,11.86,0.0,0.33,0.0,0.0,-1.9156963704588166,-6.885509670034817,-4.678234756845097,-4.3275778852319275,-3.6344307046719817,-6.450191598776971,-2.889814188882556,-1.15305139540195,-1.5119161827155718,-7.337494793777874,-5.093750200806762,-6.147910726904038,-5.699886004377078
24,铅钡,无风化,0,主采样点均值,98.88000000000001,True,31.94,0.0,0.0,0.47,0.0,1.59,0.0,8.46,29.14,26.23,0.14,0.91,0.0,0.0,-4.380149874661021,-6.364281236536533,-4.2188817270648995,-4.912028907624845,-3.000125126554726,-5.928963165278687,-1.3285099691687343,-0.09174734201980767,-0.19695534890808405,-5.429971999159699,-3.5581698222581077,-5.626682293405754,-5.178657570878793
25,铅钡,风化,1,未风化点,97.06000000000002,True,50.61,2.31,0.0,0.63,0.0,1.9,1.55,1.12,31.9,6.65,0.19,0.2,0.0,0.0,-3.0869016606922846,-6.824571278975653,-4.386184644822546,-5.372318950063964,-3.282295299053592,-3.4858942542948315,-3.810820499918983,-0.46154317543518775,-2.029532330558224,-5.584880392047637,-5.533587097660087,-6.086972335844874,-5.638947613317914
26,铅钡,风化,2,主采样点均值,99.82,True,19.79,0.0,0.0,1.44,0.0,0.7,0.0,10.57,29.53,32.25,3.13,0.45,0.0,1.96,-3.9014674914886296,-5.88559885336414,-2.620533646026565,-4.433346524452452,-3.341851703553207,-5.450280782106295,-0.6271569597323281,0.400229936141357,0.48834128362730717,-1.8441437550624125,-3.7836844558322458,-5.147999910233361,-2.3122322863720486
27,高钾,风化,1,主采样点均值,98.81,True,92.72,0.0,0.0,0.94,0.54,2.51,0.2,1.54,0.0,0.0,0.36,0.0,0.0,0.0,-5.445874930905651,-7.4300062927811625,-4.591459602749584,-5.145770338455313,-3.609301445887804,-6.1390221114655965,-4.097801782605958,-7.4300062927811625,-5.06146323199532,-5.551235446563478,-8.441607204459642,-6.6924073496503835,-6.244382627123423
28,铅钡,风化,1,未风化点,98.69000000000001,True,68.08,0.0,0.26,1.34,1.0,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,0.0,-5.136974216139274,-5.567757132231728,-3.9280138703022986,-4.220683484265119,-2.673120975549106,-5.112281603548903,-5.32934610878673,-1.3792685710954848,-2.8244387922920597,-4.181462771111837,-6.34094702046521,-5.69035945432406,-5.935481912357045
29,铅钡,风化,1,未风化点,99.88,True,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,0.0,0.0,-4.231266938089181,-5.351858133476067,-3.0559620286328175,-3.7491092091927625,-1.4848324939786561,-4.3586063604657825,-4.448990421934052,-1.6374733889537683,-3.4398495360964345,-5.039483448433914,-5.534179690270021,-6.310708479769017,-5.862683757242057
30,铅钡,无风化,0,主采样点均值,99.73500000000001,True,35.635000000000005,0.0,1.41,4.365,0.745,4.1049999999999995,2.43,0.0,38.480000000000004,10.32,1.41,0.415,0.42000000000000004,0.0,-4.4896190328279895,-3.2297385965637573,-2.0997101116622687,-3.867699361556412,-2.161122558049443,-2.685437043601377,-6.4737503947035,0.07681032484367158,-1.2392445409004174,-3.2297385965637573,-4.452805059705273,-4.440828868658557,-5.288126729045761
31,铅钡,无风化,0,主采样点均值,98.42999999999999,True,65.91,0.0,0.0,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,0.0,0.0,-5.104580906938784,-7.0887122688142945,-3.7182865458188927,-4.30482399132058,-3.053667448873486,-2.6644101509921745,-5.009270727134458,-1.3819040732415566,-2.9586496239901146,-3.7058640258203357,-5.392262979390565,-6.3511133256835155,-5.903088603156555
32,铅钡,无风化,0,主采样点均值,98.66,True,69.71,0.0,0.21,0.46,0.0,2.36,1.0,0.11,19.76,4.88,0.17,0.0,0.0,0.0,-5.1606345113724625,-5.804991527762976,-5.020872568997303,-5.692513544336285,-3.3856821604607887,-4.244343779498307,-6.451618692688029,-1.2606840871785854,-2.6591985596332512,-6.016300621430182,-8.156366784926453,-6.407166930117194,-5.959142207590234
33,铅钡,无风化,0,主采样点均值,99.96,True,75.51,0.0,0.15,0.64,1.0,2.35,0.0,0.47,16.16,3.55,0.13,0.0,0.0,0.0,-5.240555829689489,-6.221385082701215,-4.7705522004437535,-4.324265097815334,-3.4698497696592665,-6.789369120307155,-5.0792876820933675,-1.541726044722385,-3.05731749432801,-6.364485926341889,-8.23628810324348,-6.487088248434222,-6.0390635259072605
34,铅钡,风化,1,主采样点均值,97.52000000000001,True,35.78,0.0,0.25,0.78,0.0,1.62,0.47,1.51,46.55,10.0,0.34,0.22,0.0,0.0,-4.493679809954728,-4.963683439200464,-3.825850437379073,-5.025558842918551,-3.0949629288362805,-4.332411662358606,-3.16527942725374,0.2631379256425029,-1.2748039850865274,-4.656198739452503,-5.091516810710349,-5.74021222869946,-5.2921875061725
35,铅钡,无风化,0,主采样点均值,96.21,True,65.91,0.0,0.0,0.38,0.0,1.44,0.17,0.16,22.05,5.68,0.42,0.0,0.0,0.0,-5.104580906938784,-7.0887122688142945,-5.155874201326334,-5.636459939902607,-3.823647061476719,-5.960247016996504,-6.020871638812938,-1.0949775731717735,-2.4513389423315686,-5.055790742769352,-8.100313180492774,-6.3511133256835155,-5.903088603156555
36,铅钡,风化,1,主采样点均值,97.62999999999998,True,39.57,2.22,0.14,0.37,0.0,1.6,0.32,0.68,41.61,10.83,0.07,0.22,0.0,0.0,-2.8805640595131448,-5.644184111770166,-4.6723235287412,-5.1262410202353115,-3.2080676261515975,-4.8175055385856975,-4.0637337362093175,0.05026926759751707,-1.2957511943844338,-6.337331292330111,-5.192198988027108,-5.84089440601622,-5.39286968348926
37,铅钡,无风化,0,主采样点均值,99.97999999999999,True,60.12,0.0,0.23,0.89,0.0,2.72,0.0,3.01,17.24,10.34,1.46,0.31,0.0,3.66,-5.012633296758929,-5.566018534943716,-4.212876381140725,-5.544512329722751,-3.0957106845768676,-6.561446587376595,-2.9944024861239895,-1.2491102996492267,-1.7603226958044906,-3.7179061291645286,-5.267525546387719,-6.25916571550366,-2.7988794174714986
38,铅钡,风化,1,主采样点均值,98.57000000000001,True,32.93,1.38,0.0,0.68,0.0,2.57,0.29,0.73,49.31,9.79,0.48,0.41,0.0,0.0,-3.17230059721916,-6.394806190137939,-3.8800465772002575,-4.942553861226251,-2.550478197481145,-4.73225845238989,-3.809094841227973,0.4037428038477619,-1.2130226398458541,-4.228353271468474,-4.3859822156720565,-5.65720724700716,-5.2091825244802
39,铅钡,风化,1,主采样点均值,98.75999999999999,True,26.25,0.0,0.0,1.11,0.0,0.5,0.0,0.88,61.03,7.22,1.16,0.61,0.0,0.0,-4.183956720911787,-6.168088082787299,-3.1633059737133897,-4.715835753875611,-3.960813169597578,-5.732770011529453,-3.3954993605475177,0.8436995575187708,-1.290811036132898,-3.1192459839193596,-3.7619623108524127,-5.43048913965652,-4.98246441712956
40,铅钡,风化,1,主采样点均值,98.57,True,16.71,0.0,0.0,1.87,0.0,0.45,0.19,0.0,70.21,6.69,1.77,0.68,0.0,0.0,-3.7322980744814576,-5.716429436356968,-2.190068911740807,-4.26417710744528,-3.614515038825074,-4.476738549428953,-5.716429436356968,1.435483408421855,-0.9153934684671652,-2.2450277960215645,-3.201669823419287,-4.978830493226189,-4.530805770699229
41,铅钡,风化,1,主采样点均值,93.71,True,18.46,0.0,0.44,4.96,2.73,3.33,1.79,0.19,44.12,9.76,7.46,0.47,0.0,0.0,-3.8318969609488613,-3.736586781144536,-1.31420048833787,-1.9113046198778378,-1.7126339250823537,-2.3333906092220427,-4.576337435896357,0.8713069653105956,-0.6373138286497051,-0.9060508148590367,-3.670628813352739,-5.078429379693593,-4.630404657166633
42,铅钡,风化,1,未风化点,98.565,True,51.295,5.71,0.25,0.79,1.125,4.595,0.0,2.6950000000000003,21.0,10.675,0.08,0.35,0.0,0.0,-2.195374257871757,-5.3238876426595665,-4.173315615060746,-3.8198102458832928,-2.4126245257320256,-6.402697304031497,-2.9461950771787153,-0.8930708438162531,-1.5696887224249878,-6.463321925847931,-4.9874154060383535,-6.100416432158563,-5.652391709631603
43,铅钡,风化,1,主采样点均值,102.09,True,17.055,0.0,0.0,5.82,0.9199999999999999,2.83,1.075,3.4299999999999997,52.3,5.275,12.83,0.5549999999999999,0.0,0.0,-3.752734147744764,-5.736865509620275,-1.0751431541272625,-2.91982502480966,-1.7961667042154628,-2.764122754290983,-1.6038831546927605,1.1205529552002682,-1.1734647365084787,-0.284657237243064,-3.425230581106312,-4.999266566489496,-4.5512418439625355
44,铅钡,风化,1,未风化点,99.12,True,60.74,3.06,0.2,2.14,0.0,12.69,0.77,0.43,13.61,5.22,0.0,0.26,0.0,0.0,-2.9881875436533134,-5.716040372051703,-3.3457966305838425,-5.554772224455581,-1.5657881778913065,-4.36796722375201,-4.950572529912131,-1.4957976429542281,-2.4541050577230554,-7.459009677110326,-5.453676107584212,-6.26942561023649,-5.82140088770953
45,铅钡,无风化,0,主采样点均值,98.33999999999999,True,61.28,2.66,0.11,0.84,0.74,5.0,0.0,0.53,15.99,10.96,0.0,0.23,0.0,0.0,-3.137127402638728,-6.322728438622057,-4.289806912577114,-4.416558618216258,-2.5060156129982354,-6.5805575479241565,-4.750331797868306,-1.343489998586473,-1.7212012439124664,-7.467860742925059,-5.585129495491278,-6.278276676051223,-5.830251953524263
46,铅钡,无风化,0,主采样点均值,98.63000000000001,True,55.21,0.0,0.25,0.0,1.67,4.79,0.0,0.77,25.25,10.06,0.2,0.43,0.0,0.0,-4.927434828170108,-5.397438457415844,-6.264939025120567,-3.4983204698672896,-2.4446136848731292,-6.476248118787773,-4.272508860430361,-0.7823179405745845,-1.7025769316243602,-5.620582008730054,-4.855114166590482,-6.17396724691484,-5.72594252438788
47,铅钡,无风化,0,主采样点均值,97.25999999999999,True,51.54,4.66,0.29,0.87,0.61,3.06,0.0,0.65,25.4,9.23,0.1,0.85,0.0,0.0,-2.4033427570866643,-5.180232561225837,-4.081620272557727,-4.436654527038999,-2.8239432892599297,-6.40746222771604,-4.3731411213166735,-0.7076090311997282,-1.7198991567094581,-6.244943298218264,-4.104877134721994,-6.105181355843106,-5.657156633316146
48,铅钡,风化,1,主采样点均值,99.16999999999999,True,53.33,0.8,0.32,2.82,1.54,13.65,1.03,0.0,15.71,7.31,1.1,0.25,1.31,0.0,-4.19964257592672,-5.1159333078008755,-2.9397621396624887,-3.544716608186973,-1.362759502981542,-3.946940222370966,-6.876921118362177,-1.222201572344981,-1.9872557508508237,-3.881188844808186,-5.3627933857324015,-3.7064718873994504,-5.691297452704437
49,铅钡,风化,1,主采样点均值,95.49999999999999,True,28.79,0.0,0.0,4.58,1.47,5.38,2.74,0.7,34.18,6.1,11.1,0.46,0.0,0.0,-4.276318836498239,-6.260450198373751,-1.8383291064979908,-2.9747657038334396,-1.6773397304503914,-2.3520701842241056,-3.716703048562817,0.1716125730633603,-1.5517393334448188,-0.9530829963057961,-4.136556894123081,-5.522851255242972,-5.074826532716012
50,铅钡,风化,1,主采样点均值,90.17,True,17.98,0.0,0.0,3.19,0.47,1.87,0.33,1.13,44.0,14.2,6.34,0.66,0.0,0.0,-3.805550760917629,-5.78968212279314,-1.7292391122467212,-3.644282613321507,-2.263321598176979,-3.997922653565085,-2.767042396319225,0.8949296048747869,-0.23601806443625917,-1.0423812605943397,-3.30477547300514,-5.052083179662361,-4.604058457135401
51,铅钡,风化,1,主采样点均值,98.41499999999999,True,22.98,0.0,0.0,4.355,1.3199999999999998,3.88,0.8049999999999999,1.06,45.790000000000006,8.94,8.425,0.39,0.47,0.0,-4.050915004294764,-6.035046366170276,-1.6632996621161433,-2.8569925358223305,-1.7787891187854277,-3.3515372739841833,-3.0763553642966337,0.6894414542483945,-0.944088683235187,-1.0034207961821842,-4.076232812279055,-3.8896468566986426,-4.8494227005125365
52,铅钡,风化,1,主采样点均值,94.07999999999998,True,25.74,1.22,0.0,2.27,0.55,1.16,0.23,0.7,47.42,8.64,5.71,0.44,0.0,0.0,-3.049195343422815,-6.148468295917646,-2.4282663706746694,-3.8458832029236008,-3.0996261970497074,-4.717722172226922,-3.604721146106713,0.6109978784692789,-1.091643619352016,-1.5058271785000616,-4.069026754237811,-5.410869352786867,-4.962844630259907
53,铅钡,风化,1,未风化点,98.24999999999999,True,63.66,3.04,0.11,0.78,1.14,6.06,0.0,0.54,13.66,8.99,0.0,0.27,0.0,0.0,-3.0416989064358164,-6.360831335043668,-4.402017781152447,-4.022528159447543,-2.3518466217727236,-6.6186604443457675,-4.769742561277764,-1.5390845677113028,-1.9574435733704179,-7.50596363934667,-5.462889741837709,-6.316379572472834,-5.868354849945874
54,铅钡,风化,2,主采样点均值,99.66999999999999,True,22.28,0.0,0.32,3.19,1.28,4.15,0.0,0.83,55.46,7.04,4.24,0.88,0.0,0.0,-4.019980146933238,-4.243123698247448,-1.9436684982623302,-2.8568293371275577,-1.6805810808164763,-5.568793437550904,-3.290018993250577,0.9119726251285487,-1.1520812448891322,-1.659126145815217,-3.231522786568968,-5.266512565677971,-4.81848784315101
55,铅钡,无风化,0,主采样点均值,96.38000000000001,True,49.01,2.71,0.0,1.13,0.0,1.45,0.0,0.86,32.92,7.95,0.35,0.0,0.0,0.0,-2.8950757240298466,-6.792446452671122,-3.769806726197207,-5.340194123759434,-3.520460802488973,-6.357128381413276,-4.04284724865604,-0.39794398311258694,-1.8188524302552156,-4.941846483420134,-7.804047364349602,-6.054847509540343,-5.606822787013383
56,铅钡,风化,1,主采样点均值,92.24000000000001,True,29.15,0.0,0.0,1.21,0.0,1.85,0.0,0.79,41.25,15.45,2.54,0.0,0.0,0.0,-4.288745644670656,-6.272877006546167,-3.181834553187852,-4.82062467763448,-2.757269273706268,-5.837558935288322,-3.608177246317571,0.3471961999841887,-0.6348459094527469,-2.440290831766056,-7.284477918224647,-5.535278063415388,-5.087253340888428
57,铅钡,风化,1,主采样点均值,92.47,True,25.42,0.0,0.0,1.31,0.0,2.18,0.0,1.16,45.1,17.3,0.0,0.0,0.0,0.0,-4.151826997635463,-6.135958359510974,-2.965509128548248,-4.683706030599287,-2.4562113889603103,-5.700640288253129,-3.087116260643035,0.5733459807473247,-0.38482976425757476,-6.587943483254032,-7.147559271189454,-5.398359416380195,-4.950334693853235
58,铅钡,风化,1,主采样点均值,98.75999999999999,True,30.39,0.0,0.34,3.49,0.79,3.52,0.86,3.13,39.35,7.66,8.99,0.24,0.0,0.0,-4.330404338802857,-4.492923268300632,-2.164211870714366,-3.6498359404497718,-2.155652617318696,-3.5649364966632855,-2.27308060237664,0.2583823679347106,-1.3781016231762018,-1.2180007584451729,-4.841229962568847,-5.576936757547589,-5.128912035020629
