文物编号,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,纹饰,类型,颜色,表面风化,主采样点数,成分累加和,检出成分数,是否有效,K2O_SVR插补,MgO_SVR插补,Fe2O3_SVR插补,PbO_SVR插补,BaO_SVR插补,SrO_SVR插补
34,35.78,,0.25,0.78,,1.62,0.47,1.51,46.55,10.0,0.34,0.22,,,C,铅钡,深绿,风化,1,97.52,10,True,0.25,0.47903064534648987,0.47,46.55,10.0,0.22
35,65.91,,,0.38,,1.44,0.17,0.16,22.05,5.68,0.42,,,,C,铅钡,浅绿,无风化,1,96.21,8,True,0.5667170952879261,0.6239369678325981,0.17,22.05,5.68,0.30525942593382976
36,39.57,2.22,0.14,0.37,,1.6,0.32,0.68,41.61,10.83,0.07,0.22,,,C,铅钡,深绿,风化,1,97.62999999999998,11,True,0.14,0.5483080280232404,0.32,41.61,10.83,0.22
37,60.12,,0.23,0.89,,2.72,,3.01,17.24,10.34,1.46,0.31,,3.66,C,铅钡,深绿,无风化,1,99.98,10,True,0.23,0.5562847847823957,1.017548060411733,17.24,10.34,0.31
38,32.93,1.38,,0.68,,2.57,0.29,0.73,49.31,9.79,0.48,0.41,,,C,铅钡,深绿,风化,1,98.57,10,True,-0.21392692217484166,0.6154958936015269,0.29,49.31,9.79,0.41
39,26.25,,,1.11,,0.5,,0.88,61.03,7.22,1.16,0.61,,,C,铅钡,深绿,风化,1,98.76,8,True,0.30749794459550595,0.4626452049105487,0.13106156960905424,61.03,7.22,0.61
40,16.71,,,1.87,,0.45,0.19,,70.21,6.69,1.77,0.68,,,C,铅钡,,风化,1,98.57,8,True,-0.9528140705176962,0.33405901902893587,0.19,70.21,6.69,0.68
41,18.46,,0.44,4.96,2.73,3.33,1.79,0.19,44.12,9.76,7.46,0.47,,,C,铅钡,浅绿,风化,1,93.71,11,True,0.44,2.73,1.79,44.12,9.76,0.47
43,17.055,,,5.82,0.92,2.83,1.075,3.43,52.3,5.275,12.83,0.5549999999999999,,,C,铅钡,浅蓝,风化,2,102.09,10,True,-0.1556900719237837,0.92,1.075,52.3,5.275,0.5549999999999999
45,61.28,2.66,0.11,0.84,0.74,5.0,,0.53,15.99,10.96,,0.23,,,A,铅钡,浅蓝,无风化,1,98.34,10,True,0.11,0.74,1.5810817699030792,15.99,10.96,0.23
46,55.21,,0.25,,1.67,4.79,,0.77,25.25,10.06,0.2,0.43,,,A,铅钡,浅蓝,无风化,1,98.63,9,True,0.25,1.67,1.7645688798532573,25.25,10.06,0.43
47,51.54,4.66,0.29,0.87,0.61,3.06,,0.65,25.4,9.23,0.1,0.85,,,A,铅钡,浅蓝,无风化,1,97.26,11,True,0.29,0.61,0.9624381836208357,25.4,9.23,0.85
48,53.33,0.8,0.32,2.82,1.54,13.65,1.03,,15.71,7.31,1.1,0.25,1.31,,A,铅钡,,风化,1,99.17,12,True,0.32,1.54,1.03,15.71,7.31,0.25
49,28.79,,,4.58,1.47,5.38,2.74,0.7,34.18,6.1,11.1,0.46,,,A,铅钡,黑,风化,1,95.5,10,True,1.1675978476136017,1.47,2.74,34.18,6.1,0.46
50,17.98,,,3.19,0.47,1.87,0.33,1.13,44.0,14.2,6.34,0.66,,,A,铅钡,黑,风化,1,90.17,10,True,-0.7222965274042301,0.47,0.33,44.0,14.2,0.66
51,22.98,,,4.355,1.3199999999999998,3.88,0.8049999999999999,1.06,45.790000000000006,8.94,8.425,0.39,0.47,,C,铅钡,浅蓝,风化,2,98.415,11,True,0.4276498619517626,1.3199999999999998,0.8049999999999999,45.790000000000006,8.94,0.39
52,25.74,1.22,,2.27,0.55,1.16,0.23,0.7,47.42,8.64,5.71,0.44,,,C,铅钡,浅蓝,风化,1,94.07999999999998,11,True,-0.10109281078939736,0.55,0.23,47.42,8.64,0.44
54,22.28,,0.32,3.19,1.28,4.15,,0.83,55.46,7.04,4.24,0.88,,,C,铅钡,浅蓝,风化,1,99.67,10,True,0.32,1.28,1.2309533845552822,55.46,7.04,0.88
55,49.01,2.71,,1.13,,1.45,,0.86,32.92,7.95,0.35,,,,C,铅钡,绿,无风化,1,96.38,8,True,0.6970156070704339,0.595439452493107,0.6114424023714591,32.92,7.95,0.3784648007482933
56,29.15,,,1.21,,1.85,,0.79,41.25,15.45,2.54,,,,C,铅钡,蓝绿,风化,1,92.24,7,True,-0.0024019943382600495,0.5748774060099171,0.2577546478548952,41.25,15.45,0.47910777729483617
57,25.42,,,1.31,,2.18,,1.16,45.1,17.3,,,,,C,铅钡,蓝绿,风化,1,92.47,6,True,-0.48908610481013204,0.5603590536440953,0.2580122420940326,45.1,17.3,0.49066861967072023
58,30.39,,0.34,3.49,0.79,3.52,0.86,3.13,39.35,7.66,8.99,0.24,,,C,铅钡,,风化,1,98.76,11,True,0.34,0.79,0.86,39.35,7.66,0.24
