文物编号,成分数据来源,主采样点数,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,类型,纹饰,颜色,表面风化,成分累加和,检出成分数,是否有效
27,主采样点均值,1,92.72,,,0.94,0.54,2.51,0.2,1.54,,,0.36,,,,高钾,B,蓝绿,风化,98.81,7,True
28,未风化点,0,68.08,,0.26,1.34,1.0,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,,铅钡,A,浅蓝,风化,98.69000000000001,12,True
29,未风化点,0,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,,,铅钡,A,浅蓝,风化,99.88,12,True
30,主采样点均值,2,35.635000000000005,,1.41,4.365,0.745,4.1049999999999995,2.43,,38.480000000000004,10.32,1.41,0.415,0.42000000000000004,,铅钡,A,深蓝,无风化,99.73500000000001,11,True
31,主采样点均值,1,65.91,,,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,,,铅钡,C,紫,无风化,98.42999999999999,10,True
32,主采样点均值,1,69.71,,0.21,0.46,,2.36,1.0,0.11,19.76,4.88,0.17,,,,铅钡,C,浅绿,无风化,98.66,9,True
33,主采样点均值,1,75.51,,0.15,0.64,1.0,2.35,,0.47,16.16,3.55,0.13,,,,铅钡,C,深绿,无风化,99.96,9,True
34,主采样点均值,1,35.78,,0.25,0.78,,1.62,0.47,1.51,46.55,10.0,0.34,0.22,,,铅钡,C,深绿,风化,97.52000000000001,10,True
35,主采样点均值,1,65.91,,,0.38,,1.44,0.17,0.16,22.05,5.68,0.42,,,,铅钡,C,浅绿,无风化,96.21,8,True
36,主采样点均值,1,39.57,2.22,0.14,0.37,,1.6,0.32,0.68,41.61,10.83,0.07,0.22,,,铅钡,C,深绿,风化,97.62999999999998,11,True
37,主采样点均值,1,60.12,,0.23,0.89,,2.72,,3.01,17.24,10.34,1.46,0.31,,3.66,铅钡,C,深绿,无风化,99.97999999999999,10,True
38,主采样点均值,1,32.93,1.38,,0.68,,2.57,0.29,0.73,49.31,9.79,0.48,0.41,,,铅钡,C,深绿,风化,98.57000000000001,10,True
39,主采样点均值,1,26.25,,,1.11,,0.5,,0.88,61.03,7.22,1.16,0.61,,,铅钡,C,深绿,风化,98.75999999999999,8,True
40,主采样点均值,1,16.71,,,1.87,,0.45,0.19,,70.21,6.69,1.77,0.68,,,铅钡,C,,风化,98.57,8,True
41,主采样点均值,1,18.46,,0.44,4.96,2.73,3.33,1.79,0.19,44.12,9.76,7.46,0.47,,,铅钡,C,浅绿,风化,93.71,11,True
42,未风化点,0,51.295,5.71,0.25,0.79,1.125,4.595,,2.6950000000000003,21.0,10.675,0.08,0.35,,,铅钡,A,浅蓝,风化,98.565,11,True
43,主采样点均值,2,17.055,,,5.82,0.9199999999999999,2.83,1.075,3.4299999999999997,52.3,5.275,12.83,0.5549999999999999,,,铅钡,C,浅蓝,风化,102.09,10,True
44,未风化点,0,60.74,3.06,0.2,2.14,,12.69,0.77,0.43,13.61,5.22,,0.26,,,铅钡,A,浅蓝,风化,99.12,10,True
45,主采样点均值,1,61.28,2.66,0.11,0.84,0.74,5.0,,0.53,15.99,10.96,,0.23,,,铅钡,A,浅蓝,无风化,98.33999999999999,10,True
46,主采样点均值,1,55.21,,0.25,,1.67,4.79,,0.77,25.25,10.06,0.2,0.43,,,铅钡,A,浅蓝,无风化,98.63000000000001,9,True
47,主采样点均值,1,51.54,4.66,0.29,0.87,0.61,3.06,,0.65,25.4,9.23,0.1,0.85,,,铅钡,A,浅蓝,无风化,97.25999999999999,11,True
48,主采样点均值,1,53.33,0.8,0.32,2.82,1.54,13.65,1.03,,15.71,7.31,1.1,0.25,1.31,,铅钡,A,,风化,99.16999999999999,12,True
49,主采样点均值,1,28.79,,,4.58,1.47,5.38,2.74,0.7,34.18,6.1,11.1,0.46,,,铅钡,A,黑,风化,95.49999999999999,10,True
50,主采样点均值,1,17.98,,,3.19,0.47,1.87,0.33,1.13,44.0,14.2,6.34,0.66,,,铅钡,A,黑,风化,90.17,10,True
51,主采样点均值,2,22.98,,,4.355,1.3199999999999998,3.88,0.8049999999999999,1.06,45.790000000000006,8.94,8.425,0.39,0.47,,铅钡,C,浅蓝,风化,98.41499999999999,11,True
52,主采样点均值,1,25.74,1.22,,2.27,0.55,1.16,0.23,0.7,47.42,8.64,5.71,0.44,,,铅钡,C,浅蓝,风化,94.07999999999998,11,True
53,未风化点,0,63.66,3.04,0.11,0.78,1.14,6.06,,0.54,13.66,8.99,,0.27,,,铅钡,A,浅蓝,风化,98.24999999999999,10,True
54,主采样点均值,1,22.28,,0.32,3.19,1.28,4.15,,0.83,55.46,7.04,4.24,0.88,,,铅钡,C,浅蓝,风化,99.66999999999999,10,True
55,主采样点均值,1,49.01,2.71,,1.13,,1.45,,0.86,32.92,7.95,0.35,,,,铅钡,C,绿,无风化,96.38000000000001,8,True
56,主采样点均值,1,29.15,,,1.21,,1.85,,0.79,41.25,15.45,2.54,,,,铅钡,C,蓝绿,风化,92.24000000000001,7,True
57,主采样点均值,1,25.42,,,1.31,,2.18,,1.16,45.1,17.3,,,,,铅钡,C,蓝绿,风化,92.47,6,True
58,主采样点均值,1,30.39,,0.34,3.49,0.79,3.52,0.86,3.13,39.35,7.66,8.99,0.24,,,铅钡,C,,风化,98.75999999999999,11,True
